"SOCCER NUMBER","NAME","TEAM","POSITION","MATCHES PLAYED","GOALS","ASSISTS","YELLOW CARDS","RED CARDS","CYCLE RC","MINUTES PLAYED","NATIONALITY","AGE","HEIGHT","WEIGHT"
"19","Ruth Álvarez Bela","Madrid CFF","DEF","7","0","1","0","0","5","252","Spain","22","1.72","68"
"15","Claudia Florentino Vivó","Real Madrid","DEF","5","0","0","0","0","5","242","Spain","24","1.64","54"
"2","Iraia Iparraguirre Argandoña","Real Sociedad","DEF","4","0","0","0","0","5","241","Spain","27","1.68","61"
"5","Naroa Uriarte Urazurrutia","Athletic Club","DEF","5","0","0","2","0","3","201","Spain","22","1.68","63"
"11","Aleksandra Zaremba","UDG Tenerife Egatesa","DEF","4","0","0","0","0","5","179","Poland","22","1.65","56"
"30","Esther Laborde Cabanillas","Deportivo Alavés","DEF","2","0","0","2","0","3","177","Spain","18","0","0"
"2","Verónica Valentina Herrera...","UDG Tenerife Egatesa","DEF","2","0","0","0","0","5","104","Venezuela","23","1.65","66"
"25","Emma Ramirez Gorgoso","FC Barcelona","DEF","4","0","1","0","0","5","98","Spain","20","1.67","63"
"27","Jennifer Tatiana Lopez Vela...","Real Betis","DEF","2","0","0","0","0","5","90","Spain","18","0","0"
"28","Irene Corral Calderón","FC Levante Las Planas","DEF","4","0","0","0","0","5","75","Spain","21","0","0"
"17","Laura Blasco Sanchez","CD Sporting de Huelva","DEF","3","0","0","0","0","5","63","Spain","20","1.68","54"
"15","Amparo Delgado Vega","Sevilla FC","DEF","4","0","0","0","0","5","44","Spain","30","1.52","45"
"19","Lucía Gómez García","Villarreal CF","DEF","2","0","0","0","0","5","27","Spain","26","1.56","60"
"3","Jana Fernández Velasco","FC Barcelona","DEF","1","0","0","0","0","5","11","Spain","21","1.62","58"
"22","María Jiménez Gutiérrez","Valencia Féminas CF","DEF","2","0","0","0","0","5","10","Spain","22","0","0"
"3","Ebi Onome","FC Levante Las Planas","DEF","1","0","0","0","0","5","8","Nigeria","39","1.75","65"
"4","Garazi Murua Astorkiza","Athletic Club","DEF","0","0","0","0","0","5","0","Spain","28","1.67","63"
"2","Stephannie Blanco Salazar","CD Sporting de Huelva","DEF","0","0","0","0","0","5","0","Costa Rica","22","1.71","67"
"5","Érica Alba Sastre","Alhama CF El Pozo","DEF","1","0","0","0","0","5","0","Spain","27","1.65","56"
"22","Patricia Hidalgo Candelo","Alhama CF El Pozo","DEF","0","0","0","0","0","5","0","Spain","24","0","0"
"17","Marta Corredera Rueda","Real Madrid","DEF","0","0","0","0","0","5","0","Spain","31","1.64","60"
"1","Mariasun Quiñones Goikoet...","Athletic Club","POR","20","0","0","0","0","5","1800","Spain","26","1.72","72"
"13","Lola Gallardo Núñez","Atlético de Madrid","POR","20","0","0","0","0","5","1800","Spain","29","1.71","53"
"1","Paola Ulloa Jiménez","Madrid CFF","POR","19","0","0","1","0","4","1710","Spain","26","1.64","60"
"1","Enith Salón Marcuello","Valencia Féminas CF","POR","18","0","0","0","0","5","1620","Spain","21","1.67","59"
"24","Doris Bacic","FC Levante Las Planas","POR","18","0","0","0","0","5","1575","Croatia","28","1.87","72"
"1","María Isabel Rodríguez Rive...","Real Madrid","POR","17","0","0","3","0","2","1530","Spain","23","1.73","66"
"1","Esther Sullastres Ayuso","Sevilla FC","POR","16","0","0","0","0","5","1440","Spain","29","1.75","60"
"1","Noelia Ramos Álvarez","UDG Tenerife Egatesa","POR","15","0","0","1","0","4","1350","Spain","24","1.69","60"
"1","Laura Martínez Martínez","Alhama CF El Pozo","POR","15","0","0","0","0","5","1350","Spain","22","1.66","58"
"13","Jana Xin Henseler Gallego","Deportivo Alavés","POR","12","0","0","3","0","2","1080","Spain","19","1.65","56"
"1","Elena De Toro Aldaria","Villarreal CF","POR","12","0","0","0","0","5","1070","Spain","26","1.69","71"
"1","Sandra Paños García","FC Barcelona","POR","11","0","0","2","0","3","990","Spain","30","1.69","65"
"1","Adriana Nanclares Romero","Real Sociedad","POR","11","0","0","0","0","5","990","Spain","20","1.7","52"
"13","Zala Mersnik","CD Sporting de Huelva","POR","11","0","0","0","0","5","990","Slovenia","21","0","0"
"36","Andrea Tarazona Brisa","Levante UD","POR","11","0","0","0","0","5","985","Spain","18","1.65","56"
"1","Gaëlle Thalmann","Real Betis","POR","10","0","0","1","0","4","900","Switzerland","37","1.69","73"
"13","Elene Lete Para","Real Sociedad","POR","10","0","0","0","0","5","900","Spain","20","1.73","66"
"24","Malena Mieres García","Real Betis","POR","9","0","0","0","0","5","810","Spain","22","0","0"
"1","Chelsea Louise Ashurst","CD Sporting de Huelva","POR","9","0","0","1","1","4","810","England","32","1.67","59"
"13","Carmen Carbonell Gil","Villarreal CF","POR","9","0","0","0","0","5","730","Spain","23","0","0"
"1","Patricia Larqué Juste","Deportivo Alavés","POR","8","0","0","0","0","5","720","Spain","30","1.64","67"
"24","Gemma Font Oliveras","FC Barcelona","POR","8","0","0","0","0","5","720","Spain","24","1.65","60"
"1","María López Valenzuela","Levante UD","POR","6","0","0","0","0","5","540","Spain","20","1.74","79"
"13","Noelia Gil Pérez","Alhama CF El Pozo","POR","5","0","0","0","0","5","450","Spain","28","1.72","62"
"13","Yolanda Aguirre Gutiérrez","Sevilla FC","POR","4","0","0","1","0","4","360","Spain","24","1.65","56"
"25","Livia Peng","Levante UD","POR","3","0","0","0","0","5","270","Switzerland","20","1.74","65"
"24","Méline Orlane Christine Ger...","Real Madrid","POR","3","0","0","0","0","5","270","France","32","1.68","61"
"13","Cosette Morché","Valencia Féminas CF","POR","2","0","0","0","0","5","180","United States","25","1.77","62"
"13","Natalia Expósito Reyes","Madrid CFF","POR","1","0","0","0","0","5","90","Spain","25","1.7","73"
"13","Aline Villares Reis","UDG Tenerife Egatesa","POR","1","0","0","0","0","5","90","Brasil","33","1.63","60"
"25","Montserrat Quesada Carras...","FC Levante Las Planas","POR","1","0","0","0","0","5","90","Spain","21","0","0"
"13","Amaia Peña de Las Heras","Athletic Club","POR","0","0","0","0","0","5","0","Spain","24","1.73","67"
"24","Paula Vizoso Prieto","Atlético de Madrid","POR","0","0","0","0","0","5","0","Spain","23","0","0"
"13","Catalina Thomas Coll Lluch","FC Barcelona","POR","0","0","0","0","0","5","0","Spain","21","1.7","68"
"13","Andreea María Paraluta","Levante UD","POR","0","0","0","0","0","5","0","Romania","28","1.72","63"
"24","Olatz Santana Amado","Real Sociedad","POR","0","0","0","0","0","5","0","Spain","25","0","0"
"1","Laia García Dalmases","FC Levante Las Planas","POR","0","0","0","0","0","5","0","Spain","22","0","0"
